county,original,decoded,status,final
Kalamazoo,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.kalcounty.gov%2Fplanning%2Fgis.htm&rut=63d590226334770e91ba81aacd4c1530f48407ba716d83eb9f394c6614f54b88,https://www.kalcounty.gov/planning/gis.htm,200,https://www.kalcounty.gov/planning/gis.htm
Kalkaska,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.kalkaskacounty.net%2Fdepartments%2Fequalization%2Findex.php&rut=2219344f36ebc96da6c2ae52e60b4a24eb4562dbf98ba78ce80fd7affb74dd0c,https://www.kalkaskacounty.net/departments/equalization/index.php,200,https://www.kalkaskacounty.net/departments/equalization/index.php
Kent,//duckduckgo.com/l/?uddg=https%3A%2F%2Fgis.kentcountymi.gov%2Fpublic%2Fpublicviewerjs%2F&rut=473d1a4488d85c9524dca79b391e74319ca71d01873daf1643ca8f72328f2096,https://gis.kentcountymi.gov/public/publicviewerjs/,200,https://gis.kentcountymi.gov/public/publicviewerjs/
Keweenaw,//duckduckgo.com/l/?uddg=https%3A%2F%2Fkeweenawcountyonline.org%2Fdepartment%2Dequal.php&rut=63d72ec948af4e584ab7a06a4beb416f15f255c67313db5f7a90205a078c28ff,https://keweenawcountyonline.org/department-equal.php,200,https://keweenawcountyonline.org/department-equal.php
Lake,//duckduckgo.com/l/?uddg=https%3A%2F%2Flakecounty%2Dmi.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html%3Fid%3Dafaee30ca6e542c0876f9996d9d72452&rut=51d6ac822c378e17e540d301d3a9876b8bdfad0dd29aeef35e90c0ba17c64cb2,https://lakecounty-mi.maps.arcgis.com/apps/webappviewer/index.html?id=afaee30ca6e542c0876f9996d9d72452,200,https://lakecounty-mi.maps.arcgis.com/apps/webappviewer/index.html?id=afaee30ca6e542c0876f9996d9d72452
Lapeer,//duckduckgo.com/l/?uddg=https%3A%2F%2Flapeercountymi.gov%2Fdepartments%2Ftreasurer%2Fmapping_information%2Findex.php&rut=1a12cde1601eeb3292eaa6d55e77e27aa83613b24bfb4ef5632cd1fae9542f3b,https://lapeercountymi.gov/departments/treasurer/mapping_information/index.php,200,https://lapeercountymi.gov/departments/treasurer/mapping_information/index.php
Leelanau,//duckduckgo.com/l/?uddg=https%3A%2F%2Fleelanau.maps.arcgis.com%2Fhome%2Findex.html&rut=2f16801d5971990c0214993d43ea62cf60d62745f927e7ea39773b12e69b8d51,https://leelanau.maps.arcgis.com/home/index.html,200,https://leelanau.maps.arcgis.com/home/index.html
Lenawee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.lenawee.mi.us%2F214%2FMapping%2DGIS&rut=a6c6aedd595d987c745996cde649cedb4df9660c90dbfefacf41d59ce5323b61,https://www.lenawee.mi.us/214/Mapping-GIS,200,https://www.lenawee.mi.us/214/Mapping-GIS
Livingston,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmilivcounty.gov%2Fgis%2Finteractive%2Dparcel%2Dviewer%2F&rut=cf514f270a29ae2c581ef6e436909662c8759b4d426c905bd64791d3e2d0fd1d,https://milivcounty.gov/gis/interactive-parcel-viewer/,403,https://milivcounty.gov/gis/interactive-parcel-viewer/
Luce,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.arcgis.com%2Fhome%2Fitem.html%3Fid%3Dd829cf5ae1514582882c3d96e2b1d21d&rut=ec00d67dc067b378c79fe35b7b268ceadcb061801062249956eb0d08fe96f5f5,https://www.arcgis.com/home/item.html?id=d829cf5ae1514582882c3d96e2b1d21d,200,https://www.arcgis.com/home/item.html?id=d829cf5ae1514582882c3d96e2b1d21d
Mackinac,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.mackinaccounty.net%2Fdepartments%2Fgis%2F&rut=85e2857dd0351b7e3a06cdf49497067c79326ab8df2be7e4c4c3190a519cccce,https://www.mackinaccounty.net/departments/gis/,200,https://www.mackinaccounty.net/departments/gis/
Macomb,//duckduckgo.com/l/?uddg=http%3A%2F%2Fgis.macombgov.org%2F&rut=70995ff5fee5253f8982945de4472fe81de0824eb28b31579ab28b2a37aac86c,http://gis.macombgov.org/,200,https://gis.macombgov.org/portal1/apps/sites/#/home
Manistee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.manisteecountymi.gov%2F333%2FProperty%2DSearch&rut=bbd24d51c71f81bc0cfaa799cde5444ad17fc6ded9abf387f62b0b2fea8a4c63,https://www.manisteecountymi.gov/333/Property-Search,200,https://www.manisteecountymi.gov/333/Property-Search
Marquette,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.co.marquette.mi.us%2Fdepartments%2Fequalization_tax_roll%2Fgis_mapping.php&rut=cda60ed2e91f3666e51fb165e27df487cc758db8128f7dbdea321fa8db544382,https://www.co.marquette.mi.us/departments/equalization_tax_roll/gis_mapping.php,200,https://www.co.marquette.mi.us/departments/equalization_tax_roll/gis_mapping.php
Mason,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmasoncoassessor.maps.arcgis.com%2Fapps%2Fwebappviewer%2Findex.html&rut=c2efbd26681cf35ae7ee4b38cb52bafb62c5776155cd1936a65d142f9aa9910b,https://masoncoassessor.maps.arcgis.com/apps/webappviewer/index.html,200,https://masoncoassessor.maps.arcgis.com/apps/webappviewer/index.html
Mecosta,//duckduckgo.com/l/?uddg=https%3A%2F%2Fapp.regrid.com%2Fus%2Fmi%2Fmecosta&rut=c7eccb6c59103268d9d33255870dea8edbf1a1b7da8c851a2962bc7feb18828f,https://app.regrid.com/us/mi/mecosta,200,https://app.regrid.com/us/mi/mecosta
Menominee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.menomineecounty.com%2Fdepartments%2Fland%2Dinformation%2Dservices%2Dgis%2F&rut=23f0b6a7011a2f589326ce4cabe6c4782bbda2e0c2fe8f88e3f9fc3fdb3da854,https://www.menomineecounty.com/departments/land-information-services-gis/,200,https://www.menomineecounty.com/departments/land-information-services-gis/
Midland,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmidlandcountymi.gov%2FGIS&rut=14598a46ee1785ef700da5ecf6bbfc08ae61fce61fa85b03df3edbdb42757b51,https://midlandcountymi.gov/GIS,200,https://midlandcountymi.gov/GIS
Missaukee,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.missaukee.org%2Fdepartments%2Fequalization%2Fmissaukee_county_gis.php&rut=f996286ad182d9834c00a93f138586cb8a461bb5be8b10b373b527ead114a059,https://www.missaukee.org/departments/equalization/missaukee_county_gis.php,200,https://www.missaukee.org/departments/equalization/missaukee_county_gis.php
Monroe,//duckduckgo.com/l/?uddg=https%3A%2F%2Fmonroe%2Dcounty%2Dmichigan%2Dgis%2Dmonroemi.hub.arcgis.com%2F&rut=9a9b15643fc224cc7dda44e36cd8e8b7d542c74a999f30cf1159f25317002e0f,https://monroe-county-michigan-gis-monroemi.hub.arcgis.com/,200,https://monroe-county-michigan-gis-monroemi.hub.arcgis.com/
Montcalm,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.montcalm.us%2F162%2FMaps%2DParcel%2DInformation&rut=e15ac0c3f7ffc62f9faba58ebb67aeb5bba5b3a3583d1c30fbd74b16e6c3dbac,https://www.montcalm.us/162/Maps-Parcel-Information,200,https://www.montcalm.us/162/Maps-Parcel-Information
Montmorency,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.montcounty.org%2Fgis.html&rut=537c4041eb46a5a7ebd57cb5a0fec4b304b33a06002154a24443f3a44488c7c9,https://www.montcounty.org/gis.html,200,https://www.montcounty.org/gis.html
